"REF_DATE","GEO","DGUID","Offences","Age of accused","Sex of accused","Charge and case","Type of decision","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017/2018","Northwest Territories","2016A000261","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523744","14.15.3.1.2.1","13","","","","0"
"2018/2019","Northwest Territories","2016A000261","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523744","14.15.3.1.2.1","16","","","","0"
"2019/2020","Northwest Territories","2016A000261","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523744","14.15.3.1.2.1","5","","","","0"
"2020/2021","Northwest Territories","2016A000261","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523744","14.15.3.1.2.1","1","","","","0"
"2021/2022","Northwest Territories","2016A000261","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60523744","14.15.3.1.2.1","2","","","","0"
"1999/2000","Nunavut","2016A000262","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542764","15.4.2.1.2.1","13","","","","0"
"2000/2001","Nunavut","2016A000262","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542764","15.4.2.1.2.1","19","","","","0"
"2001/2002","Nunavut","2016A000262","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542764","15.4.2.1.2.1","13","","","","0"
"2002/2003","Nunavut","2016A000262","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542764","15.4.2.1.2.1","24","","","","0"
"2003/2004","Nunavut","2016A000262","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542764","15.4.2.1.2.1","15","","","","0"
"2004/2005","Nunavut","2016A000262","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542764","15.4.2.1.2.1","21","","","","0"
"2005/2006","Nunavut","2016A000262","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542764","15.4.2.1.2.1","13","","","","0"
"2006/2007","Nunavut","2016A000262","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542764","15.4.2.1.2.1","19","","","","0"
"2007/2008","Nunavut","2016A000262","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542764","15.4.2.1.2.1","14","","","","0"
"2008/2009","Nunavut","2016A000262","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542764","15.4.2.1.2.1","16","","","","0"
"2009/2010","Nunavut","2016A000262","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542764","15.4.2.1.2.1","24","","","","0"
"2010/2011","Nunavut","2016A000262","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542764","15.4.2.1.2.1","19","","","","0"
"2011/2012","Nunavut","2016A000262","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542764","15.4.2.1.2.1","21","","","","0"
"2012/2013","Nunavut","2016A000262","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542764","15.4.2.1.2.1","17","","","","0"
"2013/2014","Nunavut","2016A000262","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542764","15.4.2.1.2.1","16","","","","0"
"2014/2015","Nunavut","2016A000262","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542764","15.4.2.1.2.1","14","","","","0"
"2015/2016","Nunavut","2016A000262","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542764","15.4.2.1.2.1","22","","","","0"
"2016/2017","Nunavut","2016A000262","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542764","15.4.2.1.2.1","11","","","","0"
"2017/2018","Nunavut","2016A000262","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542764","15.4.2.1.2.1","14","","","","0"
"2018/2019","Nunavut","2016A000262","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542764","15.4.2.1.2.1","10","","","","0"
"2019/2020","Nunavut","2016A000262","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542764","15.4.2.1.2.1","23","","","","0"
"2020/2021","Nunavut","2016A000262","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542764","15.4.2.1.2.1","15","","","","0"
"2021/2022","Nunavut","2016A000262","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542764","15.4.2.1.2.1","23","","","","0"
"1999/2000","Nunavut","2016A000262","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542884","15.4.3.1.2.1","20","","","","0"
"2000/2001","Nunavut","2016A000262","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542884","15.4.3.1.2.1","35","","","","0"
"2001/2002","Nunavut","2016A000262","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542884","15.4.3.1.2.1","26","","","","0"
"2002/2003","Nunavut","2016A000262","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542884","15.4.3.1.2.1","25","","","","0"
"2003/2004","Nunavut","2016A000262","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542884","15.4.3.1.2.1","18","","","","0"
"2004/2005","Nunavut","2016A000262","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542884","15.4.3.1.2.1","22","","","","0"
"2005/2006","Nunavut","2016A000262","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542884","15.4.3.1.2.1","29","","","","0"
"2006/2007","Nunavut","2016A000262","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542884","15.4.3.1.2.1","24","","","","0"
"2007/2008","Nunavut","2016A000262","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542884","15.4.3.1.2.1","30","","","","0"
"2008/2009","Nunavut","2016A000262","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542884","15.4.3.1.2.1","32","","","","0"
"2009/2010","Nunavut","2016A000262","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542884","15.4.3.1.2.1","28","","","","0"
"2010/2011","Nunavut","2016A000262","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542884","15.4.3.1.2.1","49","","","","0"
"2011/2012","Nunavut","2016A000262","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542884","15.4.3.1.2.1","38","","","","0"
"2012/2013","Nunavut","2016A000262","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542884","15.4.3.1.2.1","36","","","","0"
"2013/2014","Nunavut","2016A000262","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542884","15.4.3.1.2.1","34","","","","0"
"2014/2015","Nunavut","2016A000262","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542884","15.4.3.1.2.1","25","","","","0"
"2015/2016","Nunavut","2016A000262","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542884","15.4.3.1.2.1","22","","","","0"
"2016/2017","Nunavut","2016A000262","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542884","15.4.3.1.2.1","18","","","","0"
"2017/2018","Nunavut","2016A000262","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542884","15.4.3.1.2.1","27","","","","0"
"2018/2019","Nunavut","2016A000262","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542884","15.4.3.1.2.1","26","","","","0"
"2019/2020","Nunavut","2016A000262","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542884","15.4.3.1.2.1","28","","","","0"
"2020/2021","Nunavut","2016A000262","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542884","15.4.3.1.2.1","29","","","","0"
"2021/2022","Nunavut","2016A000262","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60542884","15.4.3.1.2.1","28","","","","0"
"1999/2000","Nunavut","2016A000262","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60550024","15.15.2.1.2.1","30","","","","0"
"2000/2001","Nunavut","2016A000262","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60550024","15.15.2.1.2.1","44","","","","0"
"2001/2002","Nunavut","2016A000262","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60550024","15.15.2.1.2.1","45","","","","0"
"2002/2003","Nunavut","2016A000262","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60550024","15.15.2.1.2.1","74","","","","0"
